positive("uncle", "nephew")
positive("bounty hunter", "reward")
positive("quick", "slow")
positive("gulp", "drink")
positive("skeptic", "paranormal")
positive("low", "intensity")
positive("unhealed", "infection")
positive("dissuade", "intention")
positive("fan", "circulate air")
positive("sewer", "biofuel plant")
positive("diving", "springboard")
positive("sycophant", "independence")
positive("cup", "mug")
positive("modulate", "unmodulated")
positive("excommunicate", "clergy")
positive("infallible", "accuracy")
positive("kind", "cruelty")
positive("ill", "well-being")
positive("space", "universe")
positive("kleptomaniac", "lawfulness")
positive("grocery", "supermarket")
positive("students", "classroom")
positive("farmer", "farm")
positive("utensils", "flatware")
positive("toolbox", "garage")
positive("observant", "notice")
positive("virtual", "reality")
positive("truth", "lie")
positive("unprepared", "preparedness")
positive("alcohol poisoning", "liquor")
positive("unsure", "confidence")
positive("submissive", "taken advantage of")
positive("concentration", "obsession")
positive("mammal", "porcupine")
positive("clarity", "confusion")
positive("unflappable", "flap")
positive("modulate", "varying")
positive("night", "stars")
positive("disrespect", "respect")
positive("reported", "told")
positive("verify", "falsifiable")
positive("responsibility", "control")
positive("distill", "water")
positive("computer", "office")
positive("bacon", "eggs")
positive("hint", "suggestion")
positive("miser", "charity")
positive("obsessive", "focus")
positive("lifeless", "life")
positive("caterpillar", "crawling")
positive("proud", "pride")
positive("rickets", "vitamin d")
positive("omniscient", "knowledge")
positive("drummer", "beat")
positive("unassailable", "defense")
positive("overwater", "water")
positive("metals", "alloys")
positive("best", "rated")
positive("anorexia nervosa", "food intake")
positive("loner", "solitude")
positive("infected", "antibiotic")
positive("map", "location")
positive("symmetry", "balance")
positive("huff", "breathe")
positive("ostensible", "apparent")
positive("thriller", "movie genre")
positive("subtle", "force")
positive("brandy", "whiskey")
positive("pulmonologist", "lungs")
positive("communication", "messaging")
positive("flummox", "certainty")
positive("unstop", "stop")
positive("instability", "steady")
positive("key", "keyboard")
positive("progress", "regress")
positive("unrestricted", "restricted")
positive("distance", "displacement")
positive("sow", "seeds")
positive("adequate", "sufficient")
positive("unparalleled", "genius")
positive("grateful", "gratitude")
positive("tap foot", "impatience")
positive("camera", "photograph")
positive("unintelligible", "translator")
positive("medicine", "surgery")
positive("daredevil", "caution")
positive("hack", "artistry")
positive("presumptuous", "courtesy")
positive("austerity", "hermit")
positive("carriage", "train")
positive("look forward to", "anticipate")
positive("whistle", "applaud")
positive("garbage", "waste")
positive("liquidate", "business")
positive("sun", "solar")
positive("trivial", "significance")
positive("dj", "entertain")
positive("collage", "visual art")
positive("revoke", "membership")
positive("celebrate", "mourn")
positive("chancy", "certainty")
positive("flat", "elevation")
positive("unsolder", "solder")
positive("culinary arts", "gastronomy")
positive("apple", "fruit")
positive("stretch", "relaxation")
positive("chapter", "book")
positive("mixer", "blender")
positive("display", "masterpieces")
positive("modesty", "virtue")
positive("undisturbed", "disturbance")
positive("melting", "thermal")
positive("precision", "surgeon")
positive("flashmob", "gathering")
positive("insufferable", "pride")
positive("spines", "hedgehog")
positive("cloud", "storage")
positive("scowl", "anger")
positive("manifest", "evident")
positive("ambitious", "lackluster")
positive("fight", "capitulation")
positive("lettuce", "spinach")
positive("health", "nutrition")
positive("society", "sociology")
positive("ladle", "serving tool")
positive("sport", "fitness")
positive("snore", "sleep")
positive("rebinding", "book")
positive("instill", "discipline")
positive("waltz", "dance")
positive("rule", "unruly")
positive("relativity", "space-time")
positive("lacewing", "larva")
positive("knife", "cutting board")
positive("designer", "customer")
positive("frozen", "tundra")
positive("fiery", "chili")
positive("map", "treasure")
positive("obnoxious", "personality")
positive("city", "buildings")
positive("shadow", "silhouette")
positive("dilettante", "professionalism")
positive("chalk", "blackboard")
positive("probability", "certainty")
positive("intrepidity", "timidity")
positive("diligent", "work")
positive("stepfather", "stepmother")
positive("honesty", "quality")
positive("food", "ingredients")
positive("reboot", "system crash")
positive("waiter", "diner")
positive("tidal", "waves")
positive("cloud", "sky")
positive("tactic", "strategist")
positive("decrease", "amplified")
positive("pitcher", "baseball team")
positive("confidence", "ceo")
positive("basketball", "sport")
positive("doctor", "diagnosis")
positive("swimming", "pool")
positive("jewelry", "adornment")
positive("blink", "wink")
positive("yerevan", "armenia")
positive("psychologist", "analyze")
positive("unbandage", "bandage")
positive("hull", "boat")
positive("cycling", "outdoor activity")
positive("soak", "wet")
positive("structured", "unstructured")
positive("inspecting", "quality")
positive("gasp", "shock")
positive("noticeable", "visible")
positive("violin", "musical instrument")
positive("trout", "fish")
positive("reliability", "mailman")
positive("indifferent", "disconnection")
positive("love", "affectionate")
positive("general", "army")
positive("restrained", "excess")
positive("language", "linguistics")
positive("incalculable", "enormous")
positive("sniff", "inhale")
positive("most", "awarded")
positive("shoes", "walking")
positive("odd", "even")
positive("rude", "rebuke")
positive("language", "accent")
positive("infertility", "reproduction")
positive("gentle", "lamb")
positive("baby", "innocence")
positive("dominate", "indomitable")
positive("clumsy", "coordination")
positive("humor", "mockery")
positive("blissful", "joy")
positive("disorganized", "organization")
positive("empower", "disempower")
positive("somalia", "somali")
positive("first", "last")
positive("water", "life")
positive("grater", "cheese")
positive("recycling", "reuse")
positive("indisputable", "unquestionable")
positive("broken heart", "heartache")
positive("beirut", "lebanon")
positive("plate", "food")
positive("marathoner", "long-distance running")
positive("herpetology", "herpetologist")
positive("wisdom", "quality")
positive("generous", "stingy")
positive("study", "studious")
positive("lawn mower", "garage")
positive("drop", "sponsorship")
positive("lyric", "ballad")
positive("tablet", "touchscreen")
positive("cub", "bear")
positive("parking lot", "paper mill")
positive("landslide", "deforestation")
positive("duck", "accountability")
positive("give back", "return")
positive("unbendable", "resolve")
positive("camera", "tripod")
positive("unsurpassable", "excellence")
positive("sink", "faucet")
positive("jug", "container")
positive("ugly", "avert")
positive("affable", "unfriendly")
positive("belgium", "dutch")
positive("city", "urban")
positive("business", "market")
positive("untrained", "skill")
positive("impassive", "emotion")
positive("determinism", "fate")
positive("minimalist", "clutter")
positive("penguin", "flightless")
positive("habitat", "ecosystem")
positive("disown", "child")
positive("reckless", "danger")
positive("saxophone", "jazz")
positive("unshakable", "faith")
positive("shade", "draw")
positive("towpath", "fish hatchery")
positive("cheer", "applaud")
positive("round", "ball")
positive("skin aging", "sun exposure")
positive("synthesized", "raw")
positive("koala", "climb")
positive("upholstering", "sofa")
positive("smartphone", "mobile device")
positive("fatherhood", "motherhood")
positive("gold-digger", "inheritance")
positive("yoga", "meditation")
positive("unaware", "perception")
positive("chatty", "monkey")
positive("quote", "misquote")
positive("giggle", "laugh")
positive("direct", "directive")
positive("refrigerator", "kitchen")
positive("seafood", "nutrition")
positive("luxembourg city", "luxembourg")
positive("cancel", "event")
positive("rampant", "curbed")
positive("replant", "deforestation")
positive("distinguishable", "distinct")
positive("seismologist", "tectonic plates")
positive("mother", "family")
positive("track", "railway")
positive("crab", "shore")
positive("force", "compel")
positive("fat", "obese")
positive("century", "decade")
positive("order", "rigidity")
positive("passion", "activist")
positive("top", "performer")
positive("climate", "temperature")
positive("earwig", "nymph")
positive("lead", "insubordinate")
positive("principal", "school")
positive("uncinch", "cinch")
positive("fool", "trick")
positive("most", "read")
positive("best", "album")
positive("twig", "stick")
positive("carpet beetle", "larva")
positive("narrate", "narrative")
positive("reveal", "truths")
positive("war", "troops")
positive("gloves", "hand protection")
positive("hair mask", "hair")
positive("immortal", "life")
positive("green", "yellow")
positive("great-great-grandmother", "great-great-grandchild")
positive("capricious", "predictability")
positive("acquisition", "retention")
positive("extremist", "moderation")
positive("design", "website")
positive("rude", "politeness")
positive("count", "discount")
positive("speaker", "parliament")
positive("uncompromising", "compromise")
positive("nursultan nazarbayev", "kazakh leader")
positive("antimetabolite", "inhibit cell growth")
positive("botanist", "fern")
positive("vainglorious", "modesty")
positive("comedian", "audience")
positive("weave", "weaver")
positive("unconcerned", "concern")
positive("sparrow", "tweet")
positive("rational", "irrational")
positive("compose", "composer")
positive("decline", "offer")
positive("knave", "honesty")
positive("egypt", "arabic")
positive("satisfied", "dissatisfied")
positive("routine", "comedian")
positive("hoard", "collect")
positive("yawn", "tiredness")
positive("exhibited", "shown")
positive("child", "godchild")
positive("mutualism", "parasitism")
positive("custodians", "school")
positive("car", "truck")
positive("accusation", "accuse")
positive("tape dispenser", "tape")
positive("goalkeeper", "soccer team")
positive("heater", "living room")
positive("revealed", "shown")
positive("unscrupulous", "scrupulous")
positive("nurse", "care")
positive("alien", "extraterrestrial")
positive("mailbox", "front yard")
positive("subtitle", "foreign movie")
positive("statistics", "probability")
positive("crumple", "collapse")
positive("sneering", "admiration")
positive("foodie", "food")
positive("bawl", "cry")
positive("reestablish", "bankruptcy")
positive("author", "writing")
positive("empathetic", "insensitivity")
positive("sun", "light")
positive("interesting", "boring")
positive("fatigue", "vitality")
positive("tsunami", "tidal wave")
positive("pathologist", "disease")
positive("coup", "government")
positive("simplified", "complexity")
positive("islamabad", "pakistan")
positive("desk", "work table")
positive("natural", "artificial")
positive("mind", "cognition")
positive("unmoved", "motivation")
positive("dream", "imaginative")
positive("lizard", "reptile")
positive("candle", "flame")
positive("spraying", "agricultural")
positive("warm", "tepid")
positive("crew members", "film set")
positive("prostitute", "exploitation")
positive("illegal logging", "environmental penalty")
positive("cricket", "chirp")
positive("mirror", "reflective")
positive("destructive", "destruction")
positive("baker", "bakery")
positive("validate", "unjustifiable")
positive("most", "celebrated")
positive("soap", "water")
positive("direct", "undirected")
positive("vacuum", "suction cleaner")
positive("instruction", "teacher")
positive("botany", "botanist")
positive("sharp", "taste")
positive("bashful", "blush")
positive("empty", "full")
positive("drunken disorderly", "fine")
positive("boundless", "creativity")
positive("flat", "sparkle")
positive("swan", "lake")
positive("hawthorn", "tree")
positive("constructed", "improvised")
positive("warm", "toast")
positive("insolent", "courtesy")
positive("domestic violence", "restraining order")
positive("tangible", "palpable")
positive("untrustworthy", "reliability")
positive("anarchy", "revolution")
positive("crunchy", "apple")
positive("clutter", "fill")
positive("squad", "police force")
positive("prepped", "unprepped")
positive("chairperson", "committee member")
positive("loofah", "skin")
positive("structure", "haiku")
positive("theater", "stage")
positive("filtering", "pure")
positive("earth", "groundedness")
positive("ungrateful", "ingratitude")
positive("visible", "visible")
positive("raven", "caw")
positive("awful", "dreadful")
positive("unscrew", "screw")
positive("primitive", "sophisticated")
positive("timid", "deer")
positive("fuzzy", "peach")
positive("potted plant", "windowsill")
positive("tea cup", "drinking")
positive("gardening", "gardener")
positive("news", "journalist")
positive("hairy", "shave")
positive("violation", "law")
positive("lyrics", "song")
positive("budget", "economist")
positive("intolerant", "intolerance")
positive("author", "reader")
positive("restless", "insomnia")
positive("rug", "carpet")
positive("poaching", "jail")
positive("golden retriever", "dog breed")
positive("switch on", "activate")
positive("implacable", "hatred")
positive("quaking", "firmness")
positive("inspector", "inspected")
positive("unsafe", "accident")
positive("pentagon", "pentagonal prism")
positive("camera", "film")
positive("big data", "data")
positive("king george iii", "british")
positive("untouchable", "caste discrimination")
positive("physician", "healthcare")
positive("impenetrable", "penetration")
positive("unbridled", "enthusiasm")
positive("fidelity", "loyal dog")
positive("farmer", "consumer")
positive("senior", "freshman")
positive("victory", "win")
positive("war", "refugees")
positive("examine", "inspect")
positive("speed", "velocity")
positive("mammal", "zebra")
positive("road", "sidewalk")
positive("octopus", "ink")
positive("brighten", "dim")
positive("patsy", "deception")
positive("club", "nightspot")
positive("assurance", "reassure")
positive("mechanics", "garage")
positive("instruct", "uninstructed")
positive("arbitrate", "unarbitrated")
positive("slot", "coin")
positive("indomitable", "will")
positive("land", "sea")
positive("pebble", "rock")
positive("san marino", "italian")
positive("sunflower", "flower")
positive("discernible", "evident")
positive("intolerable", "injustice")
positive("bird", "avian")
positive("manger", "horse")
positive("hoarder", "generosity")
positive("ill", "doctor")
positive("estimate", "estimator")
positive("architect", "design")
positive("unfazed", "shock")
positive("relentless", "persistence")
positive("runway", "pumpkin patch")
positive("intransigent", "stance")
positive("torpid", "activity")
positive("check", "unchecked")
positive("capsule", "capsule")
positive("chef", "kitchen")
positive("dolphin", "click")
positive("exposed", "exploited")
positive("turbulence", "smooth")
positive("let go", "release")
positive("surprise", "emotion")
positive("burns", "fire safety")
positive("insolvent", "solvency")
positive("improvisation", "creative")
positive("disquiet", "quiet")
positive("tiny", "magnitude")
positive("dove", "coo")
positive("unreliable", "reliability")
positive("equation key", "algebra")
positive("success", "failure")
positive("greasy", "french fries")
positive("organized", "chaotic")
positive("curiosity", "discovery")
positive("pallid", "color")
positive("plan", "planner")
positive("babble", "jabber")
positive("calculate", "mathematician")
positive("pi", "mathematics")
positive("existentialism", "nihilism")
positive("devalue", "value")
positive("chef", "cooking")
positive("armadillo", "roll")
positive("midwife", "midwifery")
positive("farmers", "farm")
positive("normalized", "unconventional")
positive("kingpin", "queenpin")
positive("blunt", "pointed")
positive("counterfeiter", "fake money")
positive("mammal", "rat")
positive("bridge", "structure")
positive("rehabilitate", "physical therapy")
positive("police officer", "police department")
positive("mild", "bland")
positive("champion", "reforms")
positive("clothes", "apparel")
positive("propaganda", "influence")
positive("inexpressive", "expression")
positive("marinate", "marinated")
positive("yodel", "sing")
positive("prologue", "epilogue")
positive("ruffian", "brutality")
positive("overfill", "fill")
positive("scramble", "order")
positive("constitution", "nation")
positive("cricket", "team")
positive("chaos", "orderly")
positive("lecturer", "inform")
positive("smooth", "roughen")
positive("motivate", "motivator")
positive("flyover", "oil refinery")
positive("free", "restricted")
positive("adware", "advertising")
positive("comb", "hair")
positive("drastic", "change")
positive("inappreciative", "appreciation")
positive("détente", "easing of tension")
positive("smokescreen", "misdirection")
positive("recommend", "strategies")
positive("builder", "construct")
positive("butterfly", "moth")
positive("best", "worst")
positive("kneel", "submission")
positive("comedy", "drama")
positive("twiddle thumbs", "boredom")
positive("photosynthesis", "oxygen")
positive("indomitable", "spirit")
positive("democracy", "republic")
positive("dessert", "indulgence")
positive("ceo", "company")
positive("workhorse", "work")
positive("dismiss", "discharge")
positive("texture", "surface")
positive("mythology", "mythologist")
positive("cough", "discomfort")
positive("blacklist", "actor")
positive("lily", "flower")
positive("whale", "dolphin")
positive("leper", "stigma")
positive("angel", "devil")
positive("ignorant", "knowledge")
positive("consolidation", "fragmentation")
positive("coral", "calcified")
positive("strings", "guitar")
positive("mountain", "hiking")
positive("photographers", "studio")
positive("practice", "proficient")
positive("exposition", "expose")
positive("happiness", "emotion")
positive("merciless", "cruelty")
positive("disadvantaged", "marginalized")
positive("dream", "sleep")
positive("sommeliers", "winery")
positive("patient", "patience")
positive("lima", "peru")
positive("hedonist", "self-restraint")
positive("fraud", "legal action")
positive("suggestion", "advise")
positive("disbar", "lawyer")
positive("formation", "dissolution")
positive("repeat", "repetition")
positive("brussels", "belgium")
positive("microscope", "cell study")
positive("chemistry", "elements")
positive("biodiversity", "species")
positive("plating", "jewelry")
positive("decongestant", "clear nasal congestion")
positive("fish", "aquatic")
positive("rattle", "clang")
positive("knowledgeable", "ignorance")
positive("illustrated", "shown")
positive("scientist", "discover")
positive("change", "constant")
positive("disloyalty", "alliance")
positive("innovation", "progress")
positive("half-brother", "brother")
positive("scientists", "research institute")
positive("shirt", "pants")
positive("heretic", "denouncement")
positive("appreciable", "significant")
positive("villain", "evil")
positive("snippy", "patience")
positive("unholy", "sanctity")
positive("larceny", "imprisonment")
positive("break", "relief")
positive("jester", "laughter")
positive("immune", "allergy")
positive("orangutan", "rainforest")
positive("trot", "canter")
positive("market", "stall")
positive("open-minded", "narrow-mindedness")
positive("endorse", "discredited")
positive("candle", "warmth")
positive("belgium", "french")
positive("bus", "public transport")
positive("unfathomable", "depth")
positive("leeway", "freedom")
positive("haiku", "poem")
positive("lion", "courage")
positive("sprint", "move")
positive("social media", "networking")
positive("doctors", "clinic")
positive("controlled", "uncontrolled")
positive("lion", "tiger")
positive("critique", "analyze")
positive("join", "separate")
positive("shun", "controversy")
positive("justify", "indefensible")
positive("plastic", "synthetic")
positive("arrival", "departure")
positive("fleeting", "breeze")
positive("sour", "acidic")
positive("shoes", "shoe rack")
positive("obsesity", "physical activity")
positive("drought", "water scarcity")
positive("flawless", "perfection")
positive("stove", "kitchen")
positive("unfasten", "fasten")
positive("pencil", "eraser")
positive("foot soldier", "fight")
positive("sharent", "parent")
positive("algiers", "algeria")
positive("guide", "guider")
positive("pleasurable", "thrilling")
positive("painting", "brush")
positive("lord", "lady")
positive("eclectic", "interior design")
positive("mixology", "mixologist")
positive("relevant", "irrelevant")
positive("punch", "hit")
positive("blindness", "light")
positive("look for", "search")
positive("panelists", "panel discussion")
positive("education", "academics")
positive("fire", "hot")
positive("nicaragua", "spanish")
positive("singer", "serenade")
positive("potpourri", "radio broadcasting")
positive("flexible", "stiffen")
positive("spring", "fall")
positive("politics", "policy")
positive("undermine", "authority")
positive("shiver", "cold")
positive("egotistical", "modesty")
positive("unconquerable", "spirit")
positive("strap", "watch")
positive("unpredictable", "surprise")
positive("turtle", "bask")
positive("athletes", "sports team")
positive("rivulet", "river")
positive("overpowering", "perfume")
positive("map", "road")
positive("avant-garde", "mainstream")
positive("inspiration", "inspire")
positive("health", "fitness")
positive("slow", "leisurely")
positive("trichomes", "nettle")
positive("clouded", "visibility")
positive("sewing machine", "fabric")
positive("endorse", "candidates")
positive("pride", "humility")
positive("vacation", "hotel")
positive("silent", "conversation")
positive("bitter", "acerbic")
positive("mixologist", "cocktail making")
positive("bread", "pasta")
positive("hacker", "stolen data")
positive("crossover", "comic books")
positive("try on", "test clothing")
positive("cultured", "uncultured")
positive("toast", "bread")
positive("correct", "accurate")
positive("amateur", "expertise")
positive("hypoglycemia", "glucose")
positive("cricket", "bat")
positive("regular", "irregular")
positive("get rid of", "discard")
positive("ferdinand marcos", "philippine president")
positive("creditable", "laudable")
positive("harmony", "melody")
positive("separate", "unite")
positive("reckless", "accident")
positive("individual", "collective")
positive("shaka zulu", "zulu")
positive("fragile", "break")
positive("cycling", "biking")
positive("piercing", "pain")
positive("renaissance", "medieval")
positive("refine", "oil")
positive("connect", "disconnect")
positive("comparative religion", "interfaith dialogue")
positive("paternal", "maternal")
positive("polar bear", "growl")
positive("sport", "championship")
positive("blusterer", "tact")
positive("integration", "differentiation")
positive("record", "recording")
positive("bake", "cooked")
positive("curators", "museum")
positive("tailored", "loose")
positive("segment", "portion")
positive("highest", "voted")
positive("moonrise", "moonset")
positive("algorithm", "computation")
positive("reboot", "system failure")
positive("preserve", "threatened")
positive("disintegration", "nuclear decay")
positive("mature", "emerging")
positive("beaver", "slap")
positive("snuggle", "cling")
positive("bird", "pigeon")
positive("starving", "nourishment")
positive("outrageous", "protest")
positive("unbeatable", "record")
positive("philosopher", "ethics")
positive("grandson", "granddaughter")
positive("extracurricular", "activities")
positive("parenting", "child development")
positive("green", "lime")
positive("program", "unprogrammed")
positive("gun", "shotgun")
positive("school board", "principal")
positive("culinary arts", "chef")
positive("distract", "attention")
positive("bogota", "colombia")
positive("impractical", "practical")
positive("pattern", "repetition")
positive("guide", "tour guide")
positive("win", "lose")
positive("sleepy", "bear")
positive("notation", "chess game")
positive("crocodile", "reptile")
positive("fathomable", "comprehensible")
positive("flee", "danger")
positive("tiger beetle", "grub")
positive("animator", "animation")
positive("devour", "eat")
positive("flex", "strength")
positive("perform", "performer")
positive("pause", "break")
positive("theocracy", "political system")
positive("supervisor", "subordinate")
positive("matchless", "grace")
positive("dragon", "mythology")
positive("petty", "importance")
positive("folk", "acoustic")
positive("trainers", "animal park")
positive("plan", "strategy")
positive("bread", "toast")
positive("delicate", "durability")
positive("devoted", "neglectful")
positive("isolation", "social contact")
positive("leopard seal", "antarctic")
positive("snob", "egalitarianism")
positive("till", "earth")
positive("cutting board", "chopping surface")
positive("careful", "careless")
positive("unhurried", "hurry")
positive("arrange", "disarray")
positive("leonardo fibonacci", "italian")
positive("blackmailer", "payoff")
positive("fixed", "variable")
positive("malevolent", "misfortune")
positive("most", "downloaded")
positive("pessimist", "positivity")
positive("bright", "dark")
positive("hypocrite", "sincerity")
positive("contrarian", "popular opinion")
positive("vidkun quisling", "norwegian leader")
positive("acidic", "neutralize")
positive("government", "politics")
positive("slanderer", "fairness")
positive("spotless", "record")
positive("ponzi schemer", "scheme")
positive("egotistical", "altruism")
positive("past", "future")
positive("unstable", "collapsed")
positive("predict", "prescient")
positive("libya", "arabic")
positive("bronzer", "skin")
positive("treatment", "waste")
positive("undercharged", "charger")
positive("optics", "lenses")
positive("perseverance", "climber")
positive("racist", "inclusivity")
positive("knock", "pound")
positive("geometric", "angular")
positive("gabon", "french")
positive("heart", "love")
positive("painting", "wall")
positive("reconquer", "conquest")
positive("deworming", "pet")
positive("war", "battlefield")
positive("goddaughter", "godmother")
positive("accustomed", "unfamiliar")
positive("flower", "iris")
positive("collage", "mixed media")
positive("back up", "debunked")
positive("unapologetic", "apology")
positive("back up", "support")
positive("agitate", "serenity")
positive("horseshoe", "luck")
positive("prepared", "unprepared")
positive("monopolist", "market control")
positive("book", "knowledge")
positive("drive", "driver")
positive("linguist", "phonetics")
positive("systematic", "chaotic")
positive("click beetle", "grub")
positive("disrespect", "elders")
positive("unsympathetic", "sympathy")
positive("speak", "unspeakable")
positive("stroll", "march")
positive("unburden", "burden")
positive("tablet", "touchscreen device")
positive("typhoon", "cyclone")
positive("cry", "sorrow")
positive("ease off", "intense")
positive("grid", "spreadsheet")
positive("rest", "exhaustion")
positive("camera", "photography")
positive("ant", "larva")
positive("conceal", "hide")
positive("albert einstein", "german")
positive("cancel", "reservation")
positive("grate", "cheese")
positive("underactive", "action")
positive("hydrogen", "element")
positive("architecture", "design")
positive("allusion", "refer")
positive("public nuisance", "community service")
positive("mow", "lawn")
positive("mug", "rob")
positive("subtitles", "foreign film")
positive("comedy", "genre")
positive("mengistu haile mariam", "ethiopian leader")
positive("hot", "fan")
positive("compile", "compiled")
positive("moisten", "soak")
positive("debugging", "technological")
positive("lifespan", "mortality")
positive("recklessness", "cautious")
positive("beak", "parrot")
positive("unbreakable", "break")
positive("hotchpotch", "decorating")
positive("recharge", "battery drain")
positive("unmoved", "emotion")
positive("sun", "shadow")
positive("described", "explained")
positive("restrain", "unrestrainable")
positive("craft beer", "brewmaster")
positive("grace", "subservience")
positive("suriname", "dutch")
positive("air", "atmosphere")
positive("quack", "medical fraud")
positive("reheading", "drum")
positive("abstainer", "indulgence")
positive("book club", "discussion")
positive("summer", "sun")
positive("naked", "clothes")
positive("plane", "flight")
positive("editor-in-chief", "managing editor")
positive("old", "rejuvenate")
positive("spray bottle", "cleaning solution")
positive("accelerate", "hasten")
positive("vinegar", "acid")
positive("extravagant", "economy")
positive("shop", "shopping")
positive("unrestricted", "freedom")
positive("locust", "nymph")
positive("entertainment", "fun")
positive("innocent", "baby")
positive("cuckoo", "forest")
positive("soft", "hardness")
positive("hippo", "river")
positive("baker", "baking")
positive("toast", "toasted")
positive("thumb", "approval")
positive("cage", "bird")
positive("mutineer", "command")
positive("disorganize", "organization")
positive("religion", "worship")
positive("snob", "humbleness")
positive("music", "rhythm")
positive("bellow", "speak")
positive("rehydrate", "dehydration")
positive("falsehood", "fact")
positive("expel", "member")
positive("strength", "brutality")
positive("uninspiring", "inspiration")
positive("stodgy", "chic")
positive("narrow", "alley")
positive("zhou enlai", "chinese premier")
positive("bungler", "accuracy")
positive("color wheel", "painting")
positive("depend", "independent")
positive("rough", "slide")
positive("train", "conductor")
positive("hood", "engine cover")
positive("handle", "mug")
positive("footpath", "sawmill")
positive("illiterate", "misinformed")
positive("desertification", "overgrazing")
positive("unresponsive", "reaction")
positive("saxophone", "trumpet")
positive("oersted", "unit of measurement")
positive("energy", "power")
positive("cheater", "integrity")
positive("park chung-hee", "south korean leader")
positive("insulin", "lower blood sugar")
positive("messy", "pig")
positive("correctable", "remediable")
positive("police chief", "officer")
positive("explained", "made clear")
positive("skeptic", "faith")
positive("food", "recipe")
positive("basic", "advanced")
positive("accuracy", "sniper")
positive("hugo chavez", "socialist")
positive("schedule", "event")
positive("printer", "office")
positive("inscribe", "write")
positive("firmness", "inflexibility")
positive("condition", "leather")
positive("vision", "prophet")
positive("sailor", "navy")
positive("sweet", "sugar")
positive("humble", "arrogant")
positive("oil", "pigment")
positive("fearlessness", "fearfulness")
positive("manipulating", "digital")
positive("bearable", "comfortable")
positive("warm", "cozy")
positive("introverted", "social interaction")
positive("unwarranted", "deserved")
positive("jet lag", "time zone")
positive("attentive", "neglect")
positive("minor", "importance")
positive("agreement", "disagreement")
positive("defection", "party")
positive("deleterious", "deterioration")
positive("curator", "artifacts")
positive("cross", "sacrifice")
positive("writer", "editor")
positive("diamond", "hard")
positive("order", "disorder")
positive("uninfluenced", "persuasion")
positive("forgery", "jail")
positive("prance", "dance")
positive("gasoline", "diesel")
positive("unsnap", "snap")
positive("bullying", "disciplinary action")
positive("optometrist", "examine")
positive("texting", "messaging")
positive("humble", "pride")
positive("refilling", "ink cartridge")
positive("best", "selling video game")
positive("haughty", "approachability")
positive("chump", "con")
positive("narcissistic", "generosity")
positive("hip hop", "music genre")
positive("cooperate", "compete")
positive("hazardous", "risk")
positive("taciturn", "stay silent")
positive("red", "blue")
positive("refined", "crude")
positive("logic", "rhetoric")
positive("overuse", "use")
positive("democracy", "political system")
positive("giraffe", "animal")
positive("pier", "ship")
positive("normal", "strange")
positive("charlatan", "expertise")
positive("probability", "likelihood")
positive("approval", "disapproval")
positive("kitten", "cat")
positive("hippopotamus", "grunt")
positive("sponsor", "sponsee")
positive("muscle relaxant", "relieve muscle stiffness")
positive("serene", "agitated")
positive("east", "west")
positive("video game", "gaming")
positive("toaster", "toast bread")
positive("imam", "mosque")
positive("dark adaptation", "light")
positive("contribute", "donate")
positive("cook", "ready-to-eat")
positive("revive", "brand dilution")
positive("mahatma gandhi", "indian")
positive("salad", "lettuce")
positive("matches", "fire")
positive("heedless", "heedfulness")
positive("stonefly", "nymph")
positive("tolerable", "enjoyable")
positive("pretender", "authenticity")
positive("dice", "onions")
positive("editor", "newspaper")
positive("freedom", "anarchy")
positive("blouse", "clothing")
positive("block", "user")
positive("band members", "band")
positive("disorganized", "chaos")
positive("compact", "expand")
positive("beekeeper", "beekeeping")
positive("breakfast", "morning meal")
positive("magnitude", "direction")
positive("hotel", "accommodation")
positive("lightning", "electric")
positive("vandalism", "public property")
positive("counsel", "guide")
positive("unsystematic", "systematic")
positive("heretic", "dogma")
positive("pluck", "play guitar")
positive("birth", "death")
positive("man", "woman")
positive("mocker", "reverence")
positive("gardener", "cultivate")
positive("major", "minor")
positive("gardener", "garden")
positive("rudder", "ship")
positive("members", "committee")
positive("body lotion", "skin")
positive("curious", "inquire")
positive("scale", "weigh")
positive("defeatist", "perseverance")
positive("cookie cutter", "shape cutter")
positive("erratic", "steady")
positive("inhalation", "exhalation")
positive("burnout", "leisure")
positive("tired", "bed")
positive("realism", "verisimilitude")
positive("unassailable", "attack")
positive("defendant", "plaintiff")
positive("translate", "linguistic")
positive("trauma", "safety")
positive("sleepy", "alertness")
positive("robustness", "frailty")
positive("medicine", "sick")
positive("flooding", "heavy rainfall")
positive("captions", "video")
positive("shell", "turtle")
positive("composite", "sculpture")
positive("travel", "traveling")
positive("artist", "painting")
positive("detractive", "reduction")
positive("dishwasher", "kitchen")
positive("imposter", "legitimacy")
positive("teetering", "balance")
positive("food", "cooking")
positive("libertine", "restraint")
positive("dry", "laundry")
positive("soothe", "agitated")
positive("sterile", "germs")
positive("sidestep", "confrontation")
positive("mark", "scam")
positive("gawk", "composure")
positive("altruistic", "donate")
positive("book club", "reading")
positive("thabo mbeki", "south african")
positive("migration", "cultural exchange")
positive("nearsighted", "misjudge")
positive("snow leopard", "mountain")
positive("hawk", "mountains")
positive("hitler", "tyrant")
positive("tricky", "straightforwardness")
positive("license plate", "registration")
positive("staunchness", "inconstancy")
positive("attraction", "repulsion")
positive("astronomer", "observe")
